survived,class,sex,age,survied
0,3,male,22,N
1,1,female,38,Y
1,3,female,26,Y
1,1,female,35,Y
0,3,male,35,N
0,3,male,,N
0,1,male,54,N
0,3,male,2,N
1,3,female,27,Y
1,2,female,14,Y
1,3,female,4,Y
1,1,female,58,Y
0,3,male,20,N
0,3,male,39,N
0,3,female,14,N
1,2,female,55,Y
0,3,male,2,N
1,2,male,,Y
0,3,female,31,N
1,3,female,,Y
0,2,male,35,N
1,2,male,34,Y
1,3,female,15,Y
1,1,male,28,Y
0,3,female,8,N
1,3,female,38,Y
0,3,male,,N
0,1,male,19,N
1,3,female,,Y
0,3,male,,N
0,1,male,40,N
1,1,female,,Y
1,3,female,,Y
0,2,male,66,N
0,1,male,28,N
0,1,male,42,N
1,3,male,,Y
0,3,male,21,N
0,3,female,18,N
1,3,female,14,Y
0,3,female,40,N
0,2,female,27,N
0,3,male,,N
1,2,female,3,Y
1,3,female,19,Y
0,3,male,,N
0,3,male,,N
1,3,female,,Y
0,3,male,,N
0,3,female,18,N
0,3,male,7,N
0,3,male,21,N
1,1,female,49,Y
1,2,female,29,Y
0,1,male,65,N
1,1,male,,Y
1,2,female,21,Y
0,3,male,28.5,N
1,2,female,5,Y
0,3,male,11,N
0,3,male,22,N
1,1,female,38,Y
0,1,male,45,N
0,3,male,4,N
0,1,male,,N
1,3,male,,Y
1,2,female,29,Y
0,3,male,19,N
1,3,female,17,Y
0,3,male,26,N
0,2,male,32,N
0,3,female,16,N
0,2,male,21,N
0,3,male,26,N
1,3,male,32,Y
0,3,male,25,N
0,3,male,,N
0,3,male,,N
1,2,male,0.83,Y
1,3,female,30,Y
0,3,male,22,N
1,3,male,29,Y
1,3,female,,Y
0,1,male,28,N
1,2,female,17,Y
1,3,female,33,Y
0,3,male,16,N
0,3,male,,N
1,1,female,23,Y
0,3,male,24,N
0,3,male,29,N
0,3,male,20,N
0,1,male,46,N
0,3,male,26,N
0,3,male,59,N
0,3,male,,N
0,1,male,71,N
1,1,male,23,Y
1,2,female,34,Y
0,2,male,34,N
0,3,female,28,N
0,3,male,,N
0,1,male,21,N
0,3,male,33,N
0,3,male,37,N
0,3,male,28,N
1,3,female,21,Y
1,3,male,,Y
0,3,male,38,N
1,3,female,,Y
0,1,male,47,N
0,3,female,14.5,N
0,3,male,22,N
0,3,female,20,N
0,3,female,17,N
0,3,male,21,N
0,3,male,70.5,N
0,2,male,29,N
0,1,male,24,N
0,3,female,2,N
0,2,male,21,N
0,3,male,,N
0,2,male,32.5,N
1,2,female,32.5,Y
0,1,male,54,N
1,3,male,12,Y
0,3,male,,N
1,3,male,24,Y
1,3,female,,Y
0,3,male,45,N
0,3,male,33,N
0,3,male,20,N
0,3,female,47,N
1,2,female,29,Y
0,2,male,25,N
0,2,male,23,N
1,1,female,19,Y
0,1,male,37,N
0,3,male,16,N
0,1,male,24,N
0,3,female,,N
1,3,female,22,Y
1,3,female,24,Y
0,3,male,19,N
0,2,male,18,N
0,2,male,19,N
1,3,male,27,Y
0,3,female,9,N
0,2,male,36.5,N
0,2,male,42,N
0,2,male,51,N
1,1,female,22,Y
0,3,male,55.5,N
0,3,male,40.5,N
0,3,male,,N
0,1,male,51,N
1,3,female,16,Y
0,3,male,30,N
0,3,male,,N
0,3,male,,N
0,3,male,44,N
1,2,female,40,Y
0,3,male,26,N
0,3,male,17,N
0,3,male,1,N
1,3,male,9,Y
1,1,female,,Y
0,3,female,45,N
0,1,male,,N
0,3,male,28,N
0,1,male,61,N
0,3,male,4,N
1,3,female,1,Y
0,3,male,21,N
0,1,male,56,N
0,3,male,18,N
0,3,male,,N
0,1,female,50,N
0,2,male,30,N
0,3,male,36,N
0,3,female,,N
0,2,male,,N
0,3,male,9,N
1,2,male,1,Y
1,3,female,4,Y
0,1,male,,N
1,3,female,,Y
1,1,male,45,Y
0,3,male,40,N
0,3,male,36,N
1,2,female,32,Y
0,2,male,19,N
1,3,female,19,Y
1,2,male,3,Y
1,1,female,44,Y
1,1,female,58,Y
0,3,male,,N
0,3,male,42,N
1,3,female,,Y
0,2,female,24,N
0,3,male,28,N
0,3,male,,N
0,3,male,34,N
0,3,male,45.5,N
1,3,male,18,Y
0,3,female,2,N
0,3,male,32,N
1,3,male,26,Y
1,3,female,16,Y
1,1,male,40,Y
0,3,male,24,N
1,2,female,35,Y
0,3,male,22,N
0,2,male,30,N
0,3,male,,N
1,1,female,31,Y
1,3,female,27,Y
0,2,male,42,N
1,1,female,32,Y
0,2,male,30,N
1,3,male,16,Y
0,2,male,27,N
0,3,male,51,N
0,3,male,,N
1,1,male,38,Y
0,3,male,22,N
1,2,male,19,Y
0,3,male,20.5,N
0,2,male,18,N
0,3,female,,N
1,1,female,35,Y
0,3,male,29,N
0,2,male,59,N
1,3,female,5,Y
0,2,male,24,N
0,3,female,,N
0,2,male,44,N
1,2,female,8,Y
0,2,male,19,N
0,2,male,33,N
0,3,female,,N
1,3,female,,Y
0,2,male,29,N
0,3,male,22,N
0,3,male,30,N
0,1,male,44,N
0,3,female,25,N
1,2,female,24,Y
1,1,male,37,Y
0,2,male,54,N
0,3,male,,N
0,3,female,29,N
0,1,male,62,N
0,3,male,30,N
0,3,female,41,N
1,3,female,29,Y
1,1,female,,Y
1,1,female,30,Y
1,1,female,35,Y
1,2,female,50,Y
0,3,male,,N
1,3,male,3,Y
0,1,male,52,N
0,1,male,40,N
0,3,female,,N
0,2,male,36,N
0,3,male,16,N
1,3,male,25,Y
1,1,female,58,Y
1,1,female,35,Y
0,1,male,,N
1,3,male,25,Y
1,2,female,41,Y
0,1,male,37,N
1,3,female,,Y
1,1,female,63,Y
0,3,female,45,N
0,2,male,,N
0,3,male,7,N
1,3,female,35,Y
0,3,male,65,N
0,3,male,28,N
0,3,male,16,N
1,3,male,19,Y
0,1,male,,N
0,3,male,33,N
1,3,male,30,Y
0,3,male,22,N
1,2,male,42,Y
1,3,female,22,Y
1,1,female,26,Y
1,1,female,19,Y
0,2,male,36,N
0,3,female,24,N
0,3,male,24,N
0,1,male,,N
0,3,male,23.5,N
0,1,female,2,N
1,1,male,,Y
1,1,female,50,Y
1,3,female,,Y
1,3,male,,Y
0,3,male,19,N
1,2,female,,Y
0,3,male,,N
1,1,male,0.92,Y
1,1,female,,Y
1,1,female,17,Y
0,2,male,30,N
1,1,female,30,Y
1,1,female,24,Y
1,1,female,18,Y
0,2,female,26,N
0,3,male,28,N
0,2,male,43,N
1,3,female,26,Y
1,2,female,24,Y
0,2,male,54,N
1,1,female,31,Y
1,1,female,40,Y
0,3,male,22,N
0,3,male,27,N
1,2,female,30,Y
1,2,female,22,Y
0,3,male,,N
1,1,female,36,Y
0,3,male,61,N
1,2,female,36,Y
1,3,female,31,Y
1,1,female,16,Y
1,3,female,,Y
0,1,male,45.5,N
0,1,male,38,N
0,3,male,16,N
1,1,female,,Y
0,3,male,,N
0,1,male,29,N
1,1,female,41,Y
1,3,male,45,Y
0,1,male,45,N
1,2,male,2,Y
1,1,female,24,Y
0,2,male,28,N
0,2,male,25,N
0,2,male,36,N
1,2,female,24,Y
1,2,female,40,Y
1,3,female,,Y
1,3,male,3,Y
0,3,male,42,N
0,3,male,23,N
0,1,male,,N
0,3,male,15,N
0,3,male,25,N
0,3,male,,N
0,3,male,28,N
1,1,female,22,Y
0,2,female,38,N
1,3,female,,Y
1,3,female,,Y
0,3,male,40,N
0,2,male,29,N
0,3,female,45,N
0,3,male,35,N
0,3,male,,N
0,3,male,30,N
1,1,female,60,Y
1,3,female,,Y
1,3,female,,Y
1,1,female,24,Y
1,1,male,25,Y
0,3,male,18,N
0,3,male,19,N
0,1,male,22,N
0,3,female,3,N
1,1,female,,Y
1,3,female,22,Y
0,1,male,27,N
0,3,male,20,N
0,3,male,19,N
1,1,female,42,Y
1,3,female,1,Y
0,3,male,32,N
1,1,female,35,Y
0,3,male,,N
0,2,male,18,N
0,3,male,1,N
1,2,female,36,Y
0,3,male,,N
1,2,female,17,Y
1,1,male,36,Y
1,3,male,21,Y
0,3,male,28,N
1,1,female,23,Y
1,3,female,24,Y
0,3,male,22,N
0,3,female,31,N
0,2,male,46,N
0,2,male,23,N
1,2,female,28,Y
1,3,male,39,Y
0,3,male,26,N
0,3,female,21,N
0,3,male,28,N
0,3,female,20,N
0,2,male,34,N
0,3,male,51,N
1,2,male,3,Y
0,3,male,21,N
0,3,female,,N
0,3,male,,N
0,3,male,,N
1,1,female,33,Y
0,2,male,,N
1,3,male,44,Y
0,3,female,,N
1,2,female,34,Y
1,2,female,18,Y
0,2,male,30,N
0,3,female,10,N
0,3,male,,N
0,3,male,21,N
0,3,male,29,N
0,3,female,28,N
0,3,male,18,N
0,3,male,,N
1,2,female,28,Y
1,2,female,19,Y
0,3,male,,N
1,3,male,32,Y
1,1,male,28,Y
1,3,female,,Y
1,2,female,42,Y
0,3,male,17,N
0,1,male,50,N
1,1,female,14,Y
0,3,female,21,N
1,2,female,24,Y
0,1,male,64,N
0,2,male,31,N
1,2,female,45,Y
0,3,male,20,N
0,3,male,25,N
1,2,female,28,Y
1,3,male,,Y
1,1,male,4,Y
1,2,female,13,Y
1,1,male,34,Y
1,3,female,5,Y
1,1,male,52,Y
0,2,male,36,N
0,3,male,,N
0,1,male,30,N
1,1,male,49,Y
0,3,male,,N
1,3,male,29,Y
0,1,male,65,N
1,1,female,,Y
1,2,female,50,Y
0,3,male,,N
1,1,male,48,Y
0,3,male,34,N
0,1,male,47,N
0,2,male,48,N
0,3,male,,N
0,3,male,38,N
0,2,male,,N
0,1,male,56,N
0,3,male,,N
1,3,female,0.75,Y
0,3,male,,N
0,3,male,38,N
1,2,female,33,Y
1,2,female,23,Y
0,3,female,22,N
0,1,male,,N
0,2,male,34,N
0,3,male,29,N
0,3,male,22,N
1,3,female,2,Y
0,3,male,9,N
0,2,male,,N
0,3,male,50,N
1,3,female,63,Y
1,1,male,25,Y
0,3,female,,N
1,1,female,35,Y
0,1,male,58,N
0,3,male,30,N
1,3,male,9,Y
0,3,male,,N
0,3,male,21,N
0,1,male,55,N
0,1,male,71,N
0,3,male,21,N
0,3,male,,N
1,1,female,54,Y
0,3,male,,N
0,1,female,25,N
0,3,male,24,N
0,3,male,17,N
0,3,female,21,N
0,3,female,,N
0,3,female,37,N
1,1,female,16,Y
0,1,male,18,N
1,2,female,33,Y
1,1,male,,Y
0,3,male,28,N
1,3,male,26,Y
1,3,male,29,Y
0,3,male,,N
1,1,male,36,Y
1,1,female,54,Y
0,3,male,24,N
0,1,male,47,N
1,2,female,34,Y
0,3,male,,N
1,2,female,36,Y
0,3,male,32,N
1,1,female,30,Y
0,3,male,22,N
0,3,male,,N
1,1,female,44,Y
0,3,male,,N
0,3,male,40.5,N
1,2,female,50,Y
0,1,male,,N
0,3,male,39,N
0,2,male,23,N
1,2,female,2,Y
0,3,male,,N
0,3,male,17,N
1,3,female,,Y
0,3,female,30,N
1,2,female,7,Y
0,1,male,45,N
1,1,female,30,Y
0,3,male,,N
1,1,female,22,Y
1,1,female,36,Y
0,3,female,9,N
0,3,female,11,N
1,2,male,32,Y
0,1,male,50,N
0,1,male,64,N
1,2,female,19,Y
1,2,male,,Y
0,3,male,33,N
1,2,male,8,Y
1,1,male,17,Y
0,2,male,27,N
0,3,male,,N
1,3,male,22,Y
1,3,female,22,Y
0,1,male,62,N
1,1,female,48,Y
0,1,male,,N
1,1,female,39,Y
1,3,female,36,Y
0,3,male,,N
0,3,male,40,N
0,2,male,28,N
0,3,male,,N
0,3,female,,N
0,3,male,24,N
0,3,male,19,N
0,3,female,29,N
0,3,male,,N
1,3,male,32,Y
1,2,male,62,Y
1,1,female,53,Y
1,1,male,36,Y
1,3,female,,Y
0,3,male,16,N
0,3,male,19,N
1,2,female,34,Y
1,1,female,39,Y
0,3,female,,N
1,3,male,32,Y
1,2,female,25,Y
1,1,female,39,Y
0,2,male,54,N
0,1,male,36,N
0,3,male,,N
1,1,female,18,Y
0,2,male,47,N
1,1,male,60,Y
0,3,male,22,N
0,3,male,,N
0,3,male,35,N
1,1,female,52,Y
0,3,male,47,N
0,3,female,,N
0,2,male,37,N
0,3,male,36,N
1,2,female,,Y
0,3,male,49,N
0,3,male,,N
1,1,male,49,Y
1,2,female,24,Y
0,3,male,,N
0,1,male,,N
0,3,male,44,N
1,1,male,35,Y
0,3,male,36,N
0,3,male,30,N
1,1,male,27,Y
1,2,female,22,Y
1,1,female,40,Y
0,3,female,39,N
0,3,male,,N
1,3,female,,Y
0,3,male,,N
0,3,male,35,N
1,2,female,24,Y
0,3,male,34,N
0,3,female,26,N
1,2,female,4,Y
0,2,male,26,N
0,3,male,27,N
1,1,male,42,Y
1,3,male,20,Y
0,3,male,21,N
0,3,male,21,N
0,1,male,61,N
0,2,male,57,N
1,1,female,21,Y
0,3,male,26,N
0,3,male,,N
1,1,male,80,Y
0,3,male,51,N
1,1,male,32,Y
0,1,male,,N
0,3,female,9,N
1,2,female,28,Y
0,3,male,32,N
0,2,male,31,N
0,3,female,41,N
0,3,male,,N
0,3,male,20,N
1,1,female,24,Y
0,3,female,2,N
1,3,male,,Y
1,3,female,0.75,Y
1,1,male,48,Y
0,3,male,19,N
1,1,male,56,Y
0,3,male,,N
1,3,female,23,Y
0,3,male,,N
1,2,female,18,Y
0,3,male,21,N
1,3,female,,Y
0,3,female,18,N
0,2,male,24,N
0,3,male,,N
0,3,female,32,N
0,2,male,23,N
0,1,male,58,N
1,1,male,50,Y
0,3,male,40,N
0,1,male,47,N
0,3,male,36,N
1,3,male,20,Y
0,2,male,32,N
0,2,male,25,N
0,3,male,,N
0,3,male,43,N
1,1,female,,Y
1,2,female,40,Y
0,1,male,31,N
0,2,male,70,N
1,2,male,31,Y
0,2,male,,N
0,3,male,18,N
0,3,male,24.5,N
1,3,female,18,Y
0,3,female,43,N
1,1,male,36,Y
0,3,female,,N
1,1,male,27,Y
0,3,male,20,N
0,3,male,14,N
0,2,male,60,N
0,2,male,25,N
0,3,male,14,N
0,3,male,19,N
0,3,male,18,N
1,1,female,15,Y
1,1,male,31,Y
1,3,female,4,Y
1,3,male,,Y
0,3,male,25,N
0,1,male,60,N
0,2,male,52,N
0,3,male,44,N
1,3,female,,Y
0,1,male,49,N
0,3,male,42,N
1,1,female,18,Y
1,1,male,35,Y
0,3,female,18,N
0,3,male,25,N
0,3,male,26,N
0,2,male,39,N
1,2,female,45,Y
1,1,male,42,Y
1,1,female,22,Y
1,3,male,,Y
1,1,female,24,Y
0,1,male,,N
1,1,male,48,Y
0,3,male,29,N
0,2,male,52,N
0,3,male,19,N
1,1,female,38,Y
1,2,female,27,Y
0,3,male,,N
0,3,male,33,N
1,2,female,6,Y
0,3,male,17,N
0,2,male,34,N
0,2,male,50,N
1,1,male,27,Y
0,3,male,20,N
1,2,female,30,Y
1,3,female,,Y
0,2,male,25,N
0,3,female,25,N
1,1,female,29,Y
0,3,male,11,N
0,2,male,,N
0,2,male,23,N
0,2,male,23,N
0,3,male,28.5,N
0,3,female,48,N
1,1,male,35,Y
0,3,male,,N
0,3,male,,N
1,1,male,,Y
0,1,male,36,N
1,1,female,21,Y
0,3,male,24,N
1,3,male,31,Y
0,1,male,70,N
0,3,male,16,N
1,2,female,30,Y
0,1,male,19,N
0,3,male,31,N
1,2,female,4,Y
1,3,male,6,Y
0,3,male,33,N
0,3,male,23,N
1,2,female,48,Y
1,2,male,0.67,Y
0,3,male,28,N
0,2,male,18,N
0,3,male,34,N
1,1,female,33,Y
0,3,male,,N
0,3,male,41,N
1,3,male,20,Y
1,1,female,36,Y
0,3,male,16,N
1,1,female,51,Y
0,1,male,,N
0,3,female,30.5,N
0,3,male,,N
0,3,male,32,N
0,3,male,24,N
0,3,male,48,N
0,2,female,57,N
0,3,male,,N
1,2,female,54,Y
0,3,male,18,N
0,3,male,,N
1,3,female,5,Y
0,3,male,,N
1,1,female,43,Y
1,3,female,13,Y
1,1,female,17,Y
0,1,male,29,N
0,3,male,,N
0,3,male,25,N
0,3,male,25,N
1,3,female,18,Y
0,3,male,8,N
1,3,male,1,Y
0,1,male,46,N
0,3,male,,N
0,2,male,16,N
0,3,female,,N
0,1,male,,N
0,3,male,25,N
0,2,male,39,N
1,1,female,49,Y
1,3,female,31,Y
0,3,male,30,N
0,3,female,30,N
0,2,male,34,N
1,2,female,31,Y
1,1,male,11,Y
1,3,male,0.42,Y
1,3,male,27,Y
0,3,male,31,N
0,1,male,39,N
0,3,female,18,N
0,2,male,39,N
1,1,female,33,Y
0,3,male,26,N
0,3,male,39,N
0,2,male,35,N
0,3,female,6,N
0,3,male,30.5,N
0,1,male,,N
0,3,female,23,N
0,2,male,31,N
0,3,male,43,N
0,3,male,10,N
1,1,female,52,Y
1,3,male,27,Y
0,1,male,38,N
1,3,female,27,Y
0,3,male,2,N
0,3,male,,N
0,3,male,,N
1,2,male,1,Y
1,3,male,,Y
1,1,female,62,Y
1,3,female,15,Y
1,2,male,0.83,Y
0,3,male,,N
0,3,male,23,N
0,3,male,18,N
1,1,female,39,Y
0,3,male,21,N
0,3,male,,N
1,3,male,32,Y
1,1,male,,Y
0,3,male,20,N
0,2,male,16,N
1,1,female,30,Y
0,3,male,34.5,N
0,3,male,17,N
0,3,male,42,N
0,3,male,,N
0,3,male,35,N
0,2,male,28,N
1,1,female,,Y
0,3,male,4,N
0,3,male,74,N
0,3,female,9,N
1,1,female,16,Y
0,2,female,44,N
1,3,female,18,Y
1,1,female,45,Y
1,1,male,51,Y
1,3,female,24,Y
0,3,male,,N
0,3,male,41,N
0,2,male,21,N
1,1,female,48,Y
0,3,female,,N
0,2,male,24,N
1,2,female,42,Y
1,2,female,27,Y
0,1,male,31,N
0,3,male,,N
1,3,male,4,Y
0,3,male,26,N
1,1,female,47,Y
0,1,male,33,N
0,3,male,47,N
1,2,female,28,Y
1,3,female,15,Y
0,3,male,20,N
0,3,male,19,N
0,3,male,,N
1,1,female,56,Y
1,2,female,25,Y
0,3,male,33,N
0,3,female,22,N
0,2,male,28,N
0,3,male,25,N
0,3,female,39,N
0,2,male,27,N
1,1,female,19,Y
0,3,female,,N
1,1,male,26,Y
0,3,male,32,N
,3,male,34.5,
,3,female,47,
,2,male,62,
,3,male,27,
,3,female,22,
,3,male,14,
,3,female,30,
,2,male,26,
,3,female,18,
,3,male,21,
,3,male,,
,1,male,46,
,1,female,23,
,2,male,63,
,1,female,47,
,2,female,24,
,2,male,35,
,3,male,21,
,3,female,27,
,3,female,45,
,1,male,55,
,3,male,9,
,1,female,,
,1,male,21,
,1,female,48,
,3,male,50,
,1,female,22,
,3,male,22.5,
,1,male,41,
,3,male,,
,2,male,50,
,2,male,24,
,3,female,33,
,3,female,,
,1,male,30,
,3,male,18.5,
,3,female,,
,3,female,21,
,3,male,25,
,3,male,,
,3,male,39,
,1,male,,
,3,male,41,
,2,female,30,
,1,female,45,
,3,male,25,
,1,male,45,
,3,male,,
,1,female,60,
,3,female,36,
,1,male,24,
,2,male,27,
,2,female,20,
,1,female,28,
,2,male,,
,3,male,10,
,3,male,35,
,3,male,25,
,3,male,,
,1,female,36,
,3,male,17,
,2,male,32,
,3,male,18,
,3,female,22,
,1,male,13,
,2,female,,
,3,female,18,
,1,male,47,
,1,male,31,
,1,female,60,
,3,female,24,
,3,male,21,
,3,female,29,
,1,male,28.5,
,1,female,35,
,1,male,32.5,
,3,male,,
,1,female,55,
,2,male,30,
,3,female,24,
,3,male,6,
,1,male,67,
,1,male,49,
,3,male,,
,2,male,,
,3,male,,
,3,female,27,
,3,female,18,
,3,female,,
,2,male,2,
,3,female,22,
,3,male,,
,1,female,27,
,3,male,,
,1,male,25,
,3,male,25,
,1,female,76,
,3,male,29,
,3,female,20,
,3,male,33,
,1,female,43,
,2,male,27,
,3,male,,
,3,male,26,
,3,female,16,
,3,male,28,
,3,male,21,
,3,male,,
,3,male,,
,2,male,18.5,
,2,male,41,
,3,female,,
,1,female,36,
,3,female,18.5,
,1,female,63,
,3,male,18,
,3,male,,
,3,female,1,
,1,male,36,
,2,female,29,
,2,female,12,
,3,male,,
,1,female,35,
,3,male,28,
,3,male,,
,3,female,17,
,3,male,22,
,3,female,,
,2,male,42,
,3,male,24,
,3,male,32,
,1,male,53,
,3,female,,
,3,male,,
,3,male,43,
,3,male,24,
,3,male,26.5,
,2,male,26,
,3,female,23,
,3,male,40,
,3,female,10,
,1,female,33,
,1,male,61,
,2,male,28,
,1,male,42,
,3,male,31,
,1,male,,
,3,male,22,
,1,male,,
,2,male,30,
,1,female,23,
,3,male,,
,3,male,60.5,
,3,female,36,
,3,male,13,
,3,male,24,
,1,female,29,
,3,female,23,
,1,male,42,
,3,female,26,
,3,female,,
,3,male,7,
,2,female,26,
,3,male,,
,2,male,41,
,3,female,26,
,1,male,48,
,3,male,18,
,1,female,,
,3,female,22,
,3,male,,
,3,male,27,
,3,male,23,
,3,male,,
,3,male,40,
,2,female,15,
,2,female,20,
,1,male,54,
,2,female,36,
,1,female,64,
,2,male,30,
,1,male,37,
,1,female,18,
,3,male,,
,1,female,27,
,2,male,40,
,2,female,21,
,3,male,17,
,3,female,,
,2,male,40,
,2,male,34,
,1,male,,
,3,male,11.5,
,2,male,61,
,2,male,8,
,3,male,33,
,1,male,6,
,3,female,18,
,2,male,23,
,3,female,,
,3,female,,
,3,male,0.33,
,1,male,47,
,2,female,8,
,2,male,25,
,1,male,,
,3,female,35,
,2,male,24,
,1,female,33,
,3,male,25,
,3,male,32,
,3,male,,
,2,male,17,
,2,female,60,
,3,female,38,
,1,male,42,
,3,female,,
,1,male,57,
,1,female,50,
,3,male,,
,2,female,30,
,3,male,21,
,2,female,22,
,3,male,21,
,1,female,53,
,3,female,,
,3,male,23,
,3,female,,
,3,male,40.5,
,2,male,36,
,2,male,14,
,1,female,21,
,3,male,21,
,3,male,,
,1,male,39,
,3,male,20,
,1,male,64,
,3,male,20,
,2,female,18,
,1,female,48,
,1,female,55,
,2,female,45,
,1,male,45,
,3,male,,
,3,male,,
,1,male,41,
,2,female,22,
,2,male,42,
,2,female,29,
,3,female,,
,2,female,0.92,
,3,male,20,
,1,male,27,
,3,male,24,
,3,male,32.5,
,3,male,,
,3,male,,
,3,male,28,
,2,female,19,
,3,male,21,
,3,male,36.5,
,3,male,21,
,2,female,29,
,3,female,1,
,2,male,30,
,3,male,,
,1,male,,
,3,male,,
,3,female,,
,3,male,17,
,1,male,46,
,3,male,,
,1,female,26,
,3,female,,
,3,male,,
,2,female,20,
,2,male,28,
,2,male,40,
,2,male,30,
,2,male,22,
,3,female,23,
,3,male,0.75,
,3,female,,
,3,female,9,
,3,female,2,
,3,male,36,
,3,male,,
,1,male,24,
,3,male,,
,3,male,,
,1,male,,
,3,female,30,
,3,male,,
,1,male,53,
,3,male,36,
,3,male,26,
,2,female,1,
,3,male,,
,1,male,30,
,3,male,29,
,3,male,32,
,2,male,,
,2,male,43,
,3,male,24,
,3,female,,
,1,female,64,
,1,male,30,
,3,male,0.83,
,1,male,55,
,3,female,45,
,3,male,18,
,3,male,22,
,3,male,,
,3,female,37,
,1,female,55,
,3,female,17,
,1,male,57,
,2,male,19,
,3,male,27,
,2,male,22,
,3,male,26,
,3,male,25,
,2,male,26,
,1,male,33,
,1,female,39,
,3,male,23,
,2,female,12,
,1,male,46,
,2,male,29,
,2,male,21,
,2,female,48,
,1,male,39,
,3,male,,
,3,female,19,
,3,male,27,
,1,male,30,
,2,male,32,
,3,male,39,
,2,male,25,
,3,male,,
,2,male,18,
,3,male,32,
,3,male,,
,1,female,58,
,3,male,,
,3,female,16,
,2,male,26,
,3,female,38,
,2,male,24,
,2,female,31,
,1,female,45,
,2,male,25,
,2,male,18,
,2,male,49,
,3,female,0.17,
,1,male,50,
,1,female,59,
,3,male,,
,3,male,,
,3,female,30,
,3,male,14.5,
,2,female,24,
,2,female,31,
,3,male,27,
,1,female,25,
,3,female,,
,3,male,,
,3,female,22,
,1,female,45,
,2,male,29,
,2,male,21,
,1,female,31,
,1,male,49,
,2,male,44,
,1,female,54,
,1,female,45,
,3,female,22,
,2,male,21,
,1,male,55,
,3,male,5,
,3,male,,
,3,male,26,
,3,female,,
,3,female,19,
,2,male,,
,2,female,24,
,3,male,24,
,2,male,57,
,3,male,21,
,3,male,6,
,1,male,23,
,1,female,51,
,3,male,13,
,2,male,47,
,3,male,29,
,1,female,18,
,3,male,24,
,1,female,48,
,3,male,22,
,3,male,31,
,1,female,30,
,2,male,38,
,1,female,22,
,1,male,17,
,1,male,43,
,2,male,20,
,2,male,23,
,1,male,50,
,3,female,,
,3,female,3,
,3,female,,
,1,female,37,
,3,female,28,
,3,male,,
,1,female,39,
,3,male,38.5,
,3,male,,
,3,male,,
